Station Name,Lines,Stoppage Time in Seconds
Durgabai Deshmukh South Campus,"pink,orange",1080
Sir Vishweshwaraiah Moti Bagh,pink,1980
Bhikaji Cama Place,pink,2040
Sarojini Nagar,pink,1740
South Extension,pink,1080
Vinobapuri,pink,1980
Ashram,pink,1980
Sarai Kale Khan Hazrat Nizamuddin,pink,1740
Mayur Vihar Phase-1,"pink,blue",1800
Mayur Vihar Pocket I,pink,1320
Trilokpuri Sanjay Lake,pink,1260
Vinod Nagar East,pink,1500
Mandawali - West Vinod Nagar,pink,1320
IP Extension,pink,1380
Karkarduma Court,pink,1200
Krishna Nagar,pink,840
East Azad Nagar,pink,960
Jaffrabad,pink,1080
Maujpur,pink,2160
Gokulpuri,pink,960
Johri Enclave,pink,900
Shiv Vihar,pink,110
Noida Sector 51,"aqua,blue",283
Noida Sector 50,aqua,780
Noida Sector 76,aqua,900
Noida Sector 101,aqua,600
Noida Sector 81,aqua,720
NSEZ Noida,aqua,780
Noida Sector 83,aqua,780
Noida Sector 137,aqua,840
Noida Sector 142,aqua,780
Noida Sector 143,aqua,720
Noida Sector 144,aqua,600
Noida Sector 145,aqua,660
Noida Sector 146,aqua,660
Noida Sector 147,aqua,1200
Noida Sector 148,aqua,900
Knowledge Park II,aqua,1080
Pari Chowk Greater Noida,aqua,840
Alpha 1 Greater Noida,aqua,780
Delta 1 Greater Noida,aqua,1260
GNIDA Office,aqua,1140
Depot Greater Noida,aqua,203
Sector 55-66 (Rapid Metro),rapid,90
Sector 54 Chowk (Rapid Metro),rapid,1320
Sector 53-54 (Rapid Metro),rapid,1560
Sector 42-43 (Rapid Metro),rapid,1380
DLF Phase 1 (Rapid Metro),rapid,1260
Sikandarpur (Rapid Metro),"rapid,yellow",110
DLF Phase 2 (Rapid Metro),rapid,1260
Belvedere Towers (Rapid Metro),rapid,1140
Cyber City (Rapid Metro),rapid,1620
Moulsari Avenue (Rapid Metro),rapid,1920
DLF Phase 3 (Rapid Metro),rapid,1320
Nangli,gray,1320
Najafgarh,gray,72
Dhansa Bus Stand,gray,110
