from,to,Distance in meter,Time B/w Stations in sec
Tikri Kalan,Tikri Border,1300,112
Tikri Border,Pandit Shree Ram Sharma,1550,134
Pandit Shree Ram Sharma,Bahdurgarh City,1500,130
Bahdurgarh City,Brigadier Hoshiar Singh,1800,156
Ashok Park Main,Satguru Ram Singh Marg,1950,192
Satguru Ram Singh Marg,Kirti Nagar,1140,110
Kashmere Gate,Lal Quila,1500,125
Lal Quila,Jama Masjid,850,70
Jama Masjid,Delhi Gate,1200,100
Delhi Gate,ITO,1300,109
ITO,Mandi House,1000,83
Mandi House,Janpath,1500,143
Janpath,Central Secretariat,1450,119
Central Secretariat,Khan Market,2420,171
Khan Market,Jawaharlal Nehru Stadium,1500,126
Jawaharlal Nehru Stadium,Jangpura,1000,89
Jangpura,Lajpat Nagar,1500,66
Lajpat Nagar,Moolchand,760,83
Moolchand,Kailash Colony,1300,111
Kailash Colony,Nehru Place,1100,153
Nehru Place,Kalkaji Mandir,800,86
Kalkaji Mandir,Govind Puri,776,64
Govind Puri,Okhla,1400,117
Okhla,Jasola,1120,93
Jasola,Sarita Vihar,1200,100
Sarita Vihar,Mohan Estate,1230,103
Mohan Estate,Tughlakabad,2000,163
Tughlakabad,Badarpur Border,1150,96
Badarpur Border,Sarai,1800,151
Sarai,N.H.P.C. Chowk,2280,191
N.H.P.C. Chowk,Mewala Maharajpur,1050,88
Mewala Maharajpur,Sector 28 Faridabad,1200,102
Sector 28 Faridabad,Badkal Mor,1730,145
Badkal Mor,Old Faridabad,1340,112
Old Faridabad,Neelam Chowk Ajronda,1450,121
Neelam Chowk Ajronda,Bata Chowk,1320,110
Bata Chowk,Escorts Mujesar,1800,151
Escorts Mujesar,Sant Surdas - Sihi,1800,160
Sant Surdas - Sihi,Raja Nahar Singh,1700,142
Janak Puri West,Dabri Mor - Janakpuri South,1750,167
Dabri Mor - Janakpuri South,Dashrath Puri,1650,158
Dashrath Puri,Palam,1550,148
Palam,Sadar Bazaar Cantonment,3100,297
Sadar Bazaar Cantonment,Terminal 1 IGI Airport,2000,191
Terminal 1 IGI Airport,Shankar Vihar,2100,201
Shankar Vihar,Vasant Vihar,2100,210
Vasant Vihar,Munirka,1400,134
Munirka,RK Puram,1400,132
RK Puram,IIT Delhi,900,86
IIT Delhi,Hauz Khas,1300,124
Hauz Khas,Panchsheel Park,1500,137
Panchsheel Park,Chirag Delhi,900,108
Chirag Delhi,Greater Kailash,900,88
Greater Kailash,Nehru Enclave,1350,123
Nehru Enclave,Kalkaji Mandir,900,77
Kalkaji Mandir,Okhla NSIC,800,76
Okhla NSIC,Sukhdev Vihar,1100,105
Sukhdev Vihar,JAMIA MILLIA ISLAMIA,1200,115
JAMIA MILLIA ISLAMIA,Okhla Vihar,1000,95
Okhla Vihar,Jasola Vihar Shaheen Bagh,1800,172
Jasola Vihar Shaheen Bagh,Kalindi Kunj,2000,191
Kalindi Kunj,Okhla Bird Sanctuary,1600,153
Okhla Bird Sanctuary,Botanical Garden,2050,196
Majlis Park,Azadpur,2130,174
Azadpur,Shalimar Bagh,2000,163
Shalimar Bagh,Netaji Subash Place,1400,114
Netaji Subash Place,Shakurpur,1460,110
Shakurpur,Punjabi Bagh West,1860,162
Punjabi Bagh West,ESI BASAI DARAPUR,2500,141
ESI BASAI DARAPUR,Rajouri Garden,1100,88
Rajouri Garden,Maya Puri,1500,139
Maya Puri,Naraina Vihar,1600,142
Naraina Vihar,Delhi Cantt,1830,150
Delhi Cantt,Durgabai Deshmukh South Campus,3800,237
Durgabai Deshmukh South Campus,Sir Vishweshwaraiah Moti Bagh,1340,103
Sir Vishweshwaraiah Moti Bagh,Bhikaji Cama Place,1650,126
Bhikaji Cama Place,Sarojini Nagar,1400,108
Sarojini Nagar,Dilli Haat INA,1100,98
Dilli Haat INA,South Extension,1330,114
South Extension,Lajpat Nagar,1640,134
Lajpat Nagar,Vinobapuri,1450,105
Vinobapuri,Ashram,1200,114
Ashram,Sarai Kale Khan Hazrat Nizamuddin,2200,150
Sarai Kale Khan Hazrat Nizamuddin,Mayur Vihar Phase-1,4300,257
Mayur Vihar Phase-1,Mayur Vihar Pocket I,900,87
Mayur Vihar Pocket I,Trilokpuri Sanjay Lake,1500,144
Trilokpuri Sanjay Lake,Vinod Nagar East,1000,109
Vinod Nagar East,Mandawali - West Vinod Nagar,900,103
Mandawali - West Vinod Nagar,IP Extension,1400,134
IP Extension,Anand Vihar,2100,220
Anand Vihar,Karkar Duma,1000,81
Karkar Duma,Karkarduma Court,1400,114
Karkarduma Court,Krishna Nagar,800,65
Krishna Nagar,East Azad Nagar,1000,85
East Azad Nagar,Welcome,1240,101
Welcome,Jaffrabad,2000,163
Jaffrabad,Maujpur,1150,94
Maujpur,Gokulpuri,1300,106
Gokulpuri,Johri Enclave,1330,108
Johri Enclave,Shiv Vihar,1000,81
Noida Sector 51,Noida Sector 50,1300,122
Noida Sector 50,Noida Sector 76,1000,89
Noida Sector 76,Noida Sector 101,1200,104
Noida Sector 101,Noida Sector 81,900,87
Noida Sector 81,NSEZ Noida,2000,156
NSEZ Noida,Noida Sector 83,1200,110
Noida Sector 83,Noida Sector 137,1500,112
Noida Sector 137,Noida Sector 142,1660,137
Noida Sector 142,Noida Sector 143,1100,96
Noida Sector 143,Noida Sector 144,1400,110
Noida Sector 144,Noida Sector 145,1200,104
Noida Sector 145,Noida Sector 146,1700,158
Noida Sector 146,Noida Sector 147,1500,115
Noida Sector 147,Noida Sector 148,1650,122
Noida Sector 148,Knowledge Park II,3000,254
Knowledge Park II,Pari Chowk Greater Noida,1100,93
Pari Chowk Greater Noida,Alpha 1 Greater Noida,1150,97
Alpha 1 Greater Noida,Delta 1 Greater Noida,1550,131
Delta 1 Greater Noida,GNIDA Office,1300,110
GNIDA Office,Depot Greater Noida,900,76
Sector 55-66 (Rapid Metro),Sector 54 Chowk (Rapid Metro),1100,110
Sector 54 Chowk (Rapid Metro),Sector 53-54 (Rapid Metro),1570,157
Sector 53-54 (Rapid Metro),Sector 42-43 (Rapid Metro),1300,130
Sector 42-43 (Rapid Metro),DLF Phase 1 (Rapid Metro),1600,160
DLF Phase 1 (Rapid Metro),Sikandarpur (Rapid Metro),1300,130
Sikandarpur (Rapid Metro),DLF Phase 2 (Rapid Metro),900,90
DLF Phase 2 (Rapid Metro),Belvedere Towers (Rapid Metro),700,80
Belvedere Towers (Rapid Metro),Cyber City (Rapid Metro),800,80
Cyber City (Rapid Metro),Moulsari Avenue (Rapid Metro),700,70
Moulsari Avenue (Rapid Metro),DLF Phase 3 (Rapid Metro),1000,90
DLF Phase 3 (Rapid Metro),DLF Phase 2 (Rapid Metro),700,70
Dwarka,Nangli,1690,132
Nangli,Najafgarh,2400,140
Najafgarh,Dhansa Bus Stand,850,57
