METRO STATION ,Distance,Time B/w Stations (IN MINS),Stoppage Time(In secs)
Brigadier Hoshiar Singh,1.8,2.36,1.1
Alternate Branch from Ashok Park Main,,,
Ashok Park Main,0,,2.06
Satguru Ram Singh Marg,1.95,3.12,10
Kirti Nagar(Conn BLUE LINE),1.14,1.5,4.18
,,,
Violet Line,,,
Kashmere Gate(Conn YELLOW And Red),0,,2.4
Lal Quila,1.5,2.05,29
Jama Masjid,0.85,1.1,26
Delhi Gate,1.2,1.4,18
ITO,1.3,1.49,28
Mandi House(Conn Blue Line),1,1.23,23
Janpath,1.5,2.23,15
Central Secretariat(Conn Yellow),1.45,1.59,20
Khan Market,2.42,2.51,21
Jawaharlal Nehru Stadium,1.5,2.06,35
Jangpura,1,1.29,20
Lajpat Nagar(Conn PINK LINE),1.5,1.06,18
Moolchand,0.76,1.23,28
Kailash Colony,1.3,1.51,25
Nehru Place,1.1,2.33,39
Kalkaji Mandir(CONN MAGENTA LINE),0.8,1.26,22
Govind Puri,0.776,1.04,12
Okhla,1.4,1.57,19
Jasola,1.12,1.33,26
Sarita Vihar,1.2,1.4,17
Mohan Estate,1.23,1.43,19
Tughlakabad,2,2.43,26
Badarpur Border,1.15,1.36,31
Sarai,1.8,2.31,19
N.H.P.C. Chowk,2.28,3.11,25
Mewala Maharajpur,1.05,1.28,31
Sector 28 Faridabad,1.2,1.42,26
Badkal Mor,1.73,2.25,22
Old Faridabad,1.34,1.52,34
Neelam Chowk Ajronda,1.45,2.01,17
Bata Chowk,1.32,1.5,27
Escorts Mujesar,1.8,2.31,41
Sant Surdas - Sihi,1.8,2.4,16
Raja Nahar Singh,1.7,2.22,2.23
,,,
MAGENTA LINE,,,
Janak Puri West(Conn BLUE LINE),0,,2
Dabri Mor - Janakpuri South,1.75,2.47,29
Dashrath Puri,1.65,2.38,24
Palam,1.55,2.28,16
Sadar Bazaar Cantonment,3.1,4.57,19
Terminal 1 IGI Airport,2,3.11,34
Shankar Vihar,2.1,3.21,17
Vasant Vihar,2.1,3.3,25
Munirka,1.4,2.14,24
RK Puram,1.4,2.12,43
IIT Delhi,0.9,1.26,32
Hauz Khas(Conn Yellow),1.3,2.04,28
Panchsheel Park,1.5,2.17,20
Chirag Delhi,0.9,1.48,22
Greater Kailash,0.9,1.28,20
Nehru Enclave,1.35,2.03,21
Kalkaji Mandir(Conn Violet),0.9,1.17,28
Okhla NSIC,0.8,1.16,23
Sukhdev Vihar,1.1,1.45,33
JAMIA MILLIA ISLAMIA,1.2,1.55,27
Okhla Vihar,1,1.35,33
Jasola Vihar Shaheen Bagh,1.8,2.52,22
Kalindi Kunj,2,3.11,41
Okhla Bird Sanctuary,1.6,2.33,21
Botanical Garden(Conn BLUE),2.05,3.16,3.3
,,,
PINK LINE,,,
Majlis Park,0,,2.1
Azadpur(Conn YELLOW LINE),2.13,2.54,47
Shalimar Bagh,2,2.43,19
Netaji Subash Place(Conn Red LINE),1.4,1.54,27
Shakurpur,1.46,1.5,23
Punjabi Bagh West,1.86,2.42,33
ESI BASAI DARAPUR,2.5,2.21,25
